stratum,lead,bin,mean_pred,obs_freq,count
all,,0,,,0
all,,1,0.1646665076923077,0.26153846153846155,195
all,,2,0.26348774059787855,0.33461909353905495,1037
all,,3,0.3549363721843898,0.3111576741749607,3818
all,,4,0.4444856299683433,0.3823425958494548,2843
all,,5,0.5439857957474228,0.3853092783505155,1552
all,,6,0.6344528348794064,0.4137291280148423,539
all,,7,0.7143065,0.8461538461538461,26
all,,8,,,0
all,,9,,,0
lead_2,2.0,0,,,0
lead_2,2.0,1,0.15278311494252877,0.367816091954023,87
lead_2,2.0,2,0.2643373972222222,0.33611111111111114,360
lead_2,2.0,3,0.3516167341935484,0.40258064516129033,775
lead_2,2.0,4,0.448269915909091,0.5522727272727272,440
lead_2,2.0,5,0.5461599411764706,0.47058823529411764,255
lead_2,2.0,6,0.6326487468354429,0.5189873417721519,79
lead_2,2.0,7,0.7130653333333333,0.8333333333333334,6
lead_2,2.0,8,,,0
lead_2,2.0,9,,,0
lead_3,3.0,0,,,0
lead_3,3.0,1,0.1666182,0.14,50
lead_3,3.0,2,0.264212243902439,0.23780487804878048,164
lead_3,3.0,3,0.3551220729442971,0.21883289124668434,754
lead_3,3.0,4,0.4436560503597122,0.37949640287769787,556
lead_3,3.0,5,0.5441115335365855,0.5182926829268293,328
lead_3,3.0,6,0.6401825857142858,0.7,140
lead_3,3.0,7,0.7209896,1.0,10
lead_3,3.0,8,,,0
lead_3,3.0,9,,,0
lead_4,4.0,0,,,0
lead_4,4.0,1,0.17638034146341464,0.14634146341463414,41
lead_4,4.0,2,0.2669651939655172,0.25,232
lead_4,4.0,3,0.3516008221680877,0.2545676004872107,821
lead_4,4.0,4,0.44545602663934425,0.305327868852459,488
lead_4,4.0,5,0.5451460659722221,0.3263888888888889,288
lead_4,4.0,6,0.6366723983739836,0.43089430894308944,123
lead_4,4.0,7,0.7092453333333333,0.7777777777777778,9
lead_4,4.0,8,,,0
lead_4,4.0,9,,,0
lead_5,5.0,0,,,0
lead_5,5.0,1,0.19125742857142858,0.21428571428571427,14
lead_5,5.0,2,0.2592558609271523,0.3576158940397351,151
lead_5,5.0,3,0.35638100000000006,0.327710843373494,830
lead_5,5.0,4,0.4458258750000001,0.265,600
lead_5,5.0,5,0.5439905939393939,0.2515151515151515,330
lead_5,5.0,6,0.6312914545454547,0.11688311688311688,77
lead_5,5.0,7,,,0
lead_5,5.0,8,,,0
lead_5,5.0,9,,,0
lead_6,6.0,0,,,0
lead_6,6.0,1,0.1925766666666667,1.0,3
lead_6,6.0,2,0.2589304307692308,0.5769230769230769,130
lead_6,6.0,3,0.3611623072100314,0.3605015673981191,638
lead_6,6.0,4,0.4412161436100132,0.4281949934123847,759
lead_6,6.0,5,0.5413322621082621,0.3732193732193732,351
lead_6,6.0,6,0.6287093166666666,0.18333333333333332,120
lead_6,6.0,7,0.700473,0.0,1
lead_6,6.0,8,,,0
lead_6,6.0,9,,,0
