stratum,lead,metric,value,ci_low,ci_high,n
all,,brier,0.23465298081123065,0.22949982272655992,0.23917726474919912,10010
all,,bss,0.1782185416752945,0.06463669336921271,0.23226996201011518,10010
all,,auc,0.5493124527655352,0.5351172483753384,0.5839383934744694,10010
all,,ece,0.08043326903096906,,,10010
lead_2,2.0,brier,0.24592662057667233,0.24592662057667233,0.24592662057667233,2002
lead_2,2.0,bss,0.29831515554707455,0.29831515554707455,0.29831515554707455,2002
lead_2,2.0,auc,0.591833422594414,0.591833422594414,0.591833422594414,2002
lead_2,2.0,ece,0.07930885014985012,,,2002
lead_3,3.0,brier,0.2105270151944755,0.2105270151944755,0.2105270151944755,2002
lead_3,3.0,bss,0.2585783852652368,0.2585783852652368,0.2585783852652368,2002
lead_3,3.0,auc,0.6855864603906078,0.6855864603906078,0.6855864603906078,2002
lead_3,3.0,ece,0.08178304195804195,,,2002
lead_4,4.0,brier,0.21886419393547601,0.21886419393547601,0.21886419393547601,2002
lead_4,4.0,bss,0.07343791371216679,0.07343791371216679,0.07343791371216679,2002
lead_4,4.0,auc,0.5688868435405953,0.5688868435405953,0.5688868435405953,2002
lead_4,4.0,ece,0.12095099850149849,,,2002
lead_5,5.0,brier,0.23977551607498004,0.23977551607498004,0.23977551607498004,2002
lead_5,5.0,bss,-0.004463434727596027,-0.004463434727596027,-0.004463434727596027,2002
lead_5,5.0,auc,0.43691861874969684,0.43691861874969684,0.43691861874969684,2002
lead_5,5.0,ece,0.14165477222777226,,,2002
lead_6,6.0,brier,0.25817155827454946,0.25817155827454946,0.25817155827454946,2002
lead_6,6.0,bss,0.18905123490127973,0.18905123490127973,0.18905123490127973,2002
lead_6,6.0,auc,0.46234839543993567,0.46234839543993567,0.46234839543993567,2002
lead_6,6.0,ece,0.08352604095904098,,,2002
